kind	value	complex_id_a	complex_id_b
canonical_selected_sequence_sha256	1c875c500d89a0a3e553a5e1e5b1a3b7e4e4f985e488dd23a410b3ef47c943fe	8TC4__ZQQ__laE__aaA__rs101__m1__alt.	8TC4__ZQQ__laG__aaC__rs101__m1__alt.
canonical_selected_sequence_sha256	1c875c500d89a0a3e553a5e1e5b1a3b7e4e4f985e488dd23a410b3ef47c943fe	8TC4__ZQQ__laE__aaA__rs101__m1__alt.	8TC6__ZQQ__laF__aaA__rs102__m1__alt.
canonical_selected_sequence_sha256	1c875c500d89a0a3e553a5e1e5b1a3b7e4e4f985e488dd23a410b3ef47c943fe	8TC4__ZQQ__laE__aaA__rs101__m1__alt.	8TC6__ZQQ__laH__aaC__rs101__m1__alt.
canonical_selected_sequence_sha256	1cb24eda5096a47801e2f9ab075e3abe73d95d656080488231e63eef3a2c9e67	7D7W__NAD__laC__aaA__rs102__m1__alt.	7D7X__ADP__laK__aaA__rs110__m1__alt.
canonical_selected_sequence_sha256	1cb24eda5096a47801e2f9ab075e3abe73d95d656080488231e63eef3a2c9e67	7D7W__NAD__laC__aaA__rs102__m1__alt.	7D7X__GTP__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	1cb24eda5096a47801e2f9ab075e3abe73d95d656080488231e63eef3a2c9e67	7D7W__NAD__laC__aaA__rs102__m1__alt.	7D7Y__ATP__laC__aaA__rs102__m1__alt.
canonical_selected_sequence_sha256	1cb24eda5096a47801e2f9ab075e3abe73d95d656080488231e63eef3a2c9e67	7D7W__NAD__laC__aaA__rs102__m1__alt.	7D7Y__GTP__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	1cb24eda5096a47801e2f9ab075e3abe73d95d656080488231e63eef3a2c9e67	7D7W__NAD__laC__aaA__rs102__m1__alt.	7D7Z__GTP__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	1cb24eda5096a47801e2f9ab075e3abe73d95d656080488231e63eef3a2c9e67	7D7W__NAD__laC__aaA__rs102__m1__alt.	7D7Z__NAD__laDA__aaA__rs129__m1__alt.
canonical_selected_sequence_sha256	1cbd7c0b3db846b0920b44089e181c64ced7982b7aa374bd697e33234da28461	8FI2__2ZY__laG__aaA__rs106__m1__alt.	8FI7__747__laG__aaA__rs106__m1__alt.
canonical_selected_sequence_sha256	1cbd7c0b3db846b0920b44089e181c64ced7982b7aa374bd697e33234da28461	8FI2__2ZY__laG__aaA__rs106__m1__alt.	8FI8__X5R__laG__aaA__rs106__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	152D__DM1__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1D10__DM1__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1D12__DM2__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1D15__DM6__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1D37__DM4__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1D38__DM5__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1DA0__DM1__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1IMS__DM7__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1JO2__DM1__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1P20__DM2__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	1R68__MAR__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	234D__DMM__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	235D__DMM__laB__aaA__rs7__m1__altA
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	236D__CMD__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	276D__DM8__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	385D__NOD__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	482D__DM9__laB__aaA__rs7__m1__alt.
canonical_selected_sequence_sha256	1ee126d46c8b88095cb5028bbf1b4add0b10dc90e96dbe35f112904172c86243	151D__DM2__laB__aaA__rs7__m1__alt.	4L5K__KPT__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	20b40327f40f8e33d9a4065ab7040d1187fb8670d4420304f1e92311429d05fb	8HZD__O2I__laF__aaA__rs104__m1__alt.	8HZD__O2I__laK__aaB__rs105__m1__alt.
canonical_selected_sequence_sha256	20b40327f40f8e33d9a4065ab7040d1187fb8670d4420304f1e92311429d05fb	8HZD__O2I__laF__aaA__rs104__m1__alt.	8HZK__NI4__laBA__aaB__rs110__m1__alt.
canonical_selected_sequence_sha256	20b40327f40f8e33d9a4065ab7040d1187fb8670d4420304f1e92311429d05fb	8HZD__O2I__laF__aaA__rs104__m1__alt.	8HZK__NI4__laR__aaA__rs116__m1__alt.
canonical_selected_sequence_sha256	217ce689883834b65bb4dea2b39ef12a4f2c01a3b7d8ed32325be6fd4084a15d	8HZL__NI4__laDA__aaB__rs115__m1__alt.	8HZL__NI4__laEA__aaB__rs116__m1__alt.
canonical_selected_sequence_sha256	217ce689883834b65bb4dea2b39ef12a4f2c01a3b7d8ed32325be6fd4084a15d	8HZL__NI4__laDA__aaB__rs115__m1__alt.	8HZL__NI4__laM__aaA__rs111__m1__alt.
canonical_selected_sequence_sha256	217ce689883834b65bb4dea2b39ef12a4f2c01a3b7d8ed32325be6fd4084a15d	8HZL__NI4__laDA__aaB__rs115__m1__alt.	8HZL__NI4__laO__aaA__rs113__m1__alt.
canonical_selected_sequence_sha256	2205ab0515cd8f5fcb9374657b590078042055c9730c3ef4807c971a46d1a928	6XRQ__V8A__laF__aaA__rs102__m1__alt.	6XRQ__V8A__laG__aaA__rs103__m1__alt.
canonical_selected_sequence_sha256	26630cfc942e3b0113e36f7459b906e589a374b35eba814231acd0640766e54a	8G4W__PRF__laI__aaR__rs101__m1__alt.	8G7E__PRF__laI__aaR__rs101__m1__alt.
canonical_selected_sequence_sha256	26d0c56b2f35c364515fe0aaddaef6572475993c96d3080acfa2957745972e5a	2QWY__SAM__laH__aaA__rs100__m1__alt.	2QWY__SAM__laK__aaB__rs300__m1__alt.
canonical_selected_sequence_sha256	26d0c56b2f35c364515fe0aaddaef6572475993c96d3080acfa2957745972e5a	2QWY__SAM__laH__aaA__rs100__m1__alt.	2QWY__SAM__laO__aaC__rs500__m1__alt.
canonical_selected_sequence_sha256	27546a59c45c7ca14c022f4bb09260ae316a600f97717c6a087dd926eebb4c88	9E5K__N3D__laF__aaA__rs102__m1__alt.	9E5K__N3D__laSA__aaD__rs102__m1__alt.
canonical_selected_sequence_sha256	2acb1345eb259905224200541d75c0ddb5e143207353120a0fea00d6901e8c85	6DLQ__PRP__laB__aaA__rs201__m1__altA	6DLR__PRP__laB__aaA__rs201__m1__altA
canonical_selected_sequence_sha256	2acb1345eb259905224200541d75c0ddb5e143207353120a0fea00d6901e8c85	6DLQ__PRP__laB__aaA__rs201__m1__altA	6DLS__PRP__laB__aaA__rs201__m1__altA
canonical_selected_sequence_sha256	2acb1345eb259905224200541d75c0ddb5e143207353120a0fea00d6901e8c85	6DLQ__PRP__laB__aaA__rs201__m1__altA	6DLT__PRP__laH__aaA__rs207__m1__altA
canonical_selected_sequence_sha256	2b3fe86a97a46e16381752cad32e05f0fc1bee3b4e635c6ea461ea493261226a	1CX3__NF__laC__aaA__rs7__m1__alt.	1QCH__NGM__laC__aaA__rs13__m1__alt.
canonical_selected_sequence_sha256	2b3fe86a97a46e16381752cad32e05f0fc1bee3b4e635c6ea461ea493261226a	1CX3__NF__laC__aaA__rs7__m1__alt.	1X95__XR2__laC__aaA__rs21__m1__alt.
canonical_selected_sequence_sha256	2b3fe86a97a46e16381752cad32e05f0fc1bee3b4e635c6ea461ea493261226a	1CX3__NF__laC__aaA__rs7__m1__alt.	4BZT__XR2__laC__aaA__rs13__m1__alt.
canonical_selected_sequence_sha256	2b42e4ed0c4059976c1e4b155e010843001dd820c178c319a9923709846ab28c	8HZL__NI4__laCA__aaB__rs114__m1__alt.	8HZL__NI4__laN__aaA__rs112__m1__alt.
canonical_selected_sequence_sha256	3053e68d4fc12ac69a2e6d57f40417974bb018f20c2fb1fea78327a871d30d51	6YMJ__ADN__laAA__aaO__rs102__m1__alt.	6YMJ__ADN__laQ__aaC__rs102__m1__alt.
canonical_selected_sequence_sha256	3053e68d4fc12ac69a2e6d57f40417974bb018f20c2fb1fea78327a871d30d51	6YMJ__ADN__laAA__aaO__rs102__m1__alt.	6YMJ__ADN__laU__aaI__rs201__m1__alt.
canonical_selected_sequence_sha256	3053e68d4fc12ac69a2e6d57f40417974bb018f20c2fb1fea78327a871d30d51	6YMJ__ADN__laAA__aaO__rs102__m1__alt.	6YMK__MTA__laO__aaC__rs101__m1__alt.
canonical_selected_sequence_sha256	3053e68d4fc12ac69a2e6d57f40417974bb018f20c2fb1fea78327a871d30d51	6YMJ__ADN__laAA__aaO__rs102__m1__alt.	6YMK__MTA__laU__aaI__rs101__m1__alt.
canonical_selected_sequence_sha256	3053e68d4fc12ac69a2e6d57f40417974bb018f20c2fb1fea78327a871d30d51	6YMJ__ADN__laAA__aaO__rs102__m1__alt.	6YMK__MTA__laY__aaO__rs101__m1__alt.
canonical_selected_sequence_sha256	3516c946afb2e2bf35e339b97024e41044c8ee044fd64164636aa262bdb3b263	6QN3__GLN__laG__aaA__rs105__m1__alt.	6QN3__GLN__laL__aaB__rs205__m1__alt.
canonical_selected_sequence_sha256	3576fca5fc4180a82d8d2b9d5bc292364afd5432a1ffbe7a1ee3dc901514c4dc	7SZU__J8F__laF__aaR__rs103__m1__alt.	7U0Y__KY6__laD__aaR__rs301__m1__alt.
canonical_selected_sequence_sha256	35d339edefaeec845dc88a64703b4517ddd2c906e9202d6f810347f359a1c499	3L3C__G6P__laBA__aaH__rs5004__m1__alt.	3L3C__G6P__laN__aaP__rs5001__m1__alt.
canonical_selected_sequence_sha256	363e201669deb4c9cd373a2548561b040277bcca8909491bb6f8c97d2bf50f77	6V9D__QW4__laC__aaB__rs101__m1__alt.	6V9D__QW4__laD__aaB__rs102__m1__alt.
canonical_selected_sequence_sha256	363e201669deb4c9cd373a2548561b040277bcca8909491bb6f8c97d2bf50f77	6V9D__QW4__laC__aaB__rs101__m1__alt.	6V9D__QW4__laH__aaE__rs101__m1__alt.
canonical_selected_sequence_sha256	36c56e7667bcf4dacfea17961ec50456465aec4ca3423f54e508c164d98aa9dd	9GVI__PQ3__laB__aaA__rs101__m1__alt.	9GVV__LWQ__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	376715c35b73dcfcbfa88693b2d53efb1ad22425a0dec8633e85e1c39ef1c4fc	9CPD__MQC__laC__aaB__rs101__m1__alt.	9CPG__A1AZM__laC__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	376715c35b73dcfcbfa88693b2d53efb1ad22425a0dec8633e85e1c39ef1c4fc	9CPD__MQC__laC__aaB__rs101__m1__alt.	9CPI__A1AZL__laC__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	37c2c204644eeca6e41ccafb508cc558ac039e3d846a9845ab402ba0f5a5d7c7	7PNG__7V5__laB__aaA__rs101__m1__alt.	8ABD__PQ3__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	391d1dd7c282c8088c0cfd570c3ca71f39dc677280f8c05dbe7ecae9ac16341b	8GXB__NAD__laH__aaA__rs101__m1__alt.	8GXB__NAD__laS__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	391d1dd7c282c8088c0cfd570c3ca71f39dc677280f8c05dbe7ecae9ac16341b	8GXB__NAD__laH__aaA__rs101__m1__alt.	8GXC__NMN__laH__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	391d1dd7c282c8088c0cfd570c3ca71f39dc677280f8c05dbe7ecae9ac16341b	8GXB__NAD__laH__aaA__rs101__m1__alt.	8GXC__NMN__laO__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	3997962e897c47016a07f1ca98e0b8db85db63fd0ccd2bd40b26123ed2f2ebca	4RPX__DCP__laT__aaD__rs101__m1__alt.	4RPY__DCP__laU__aaT__rs101__m1__alt.
canonical_selected_sequence_sha256	3997962e897c47016a07f1ca98e0b8db85db63fd0ccd2bd40b26123ed2f2ebca	4RPX__DCP__laT__aaD__rs101__m1__alt.	4RPZ__DCP__laO__aaD__rs101__m1__alt.
canonical_selected_sequence_sha256	3997962e897c47016a07f1ca98e0b8db85db63fd0ccd2bd40b26123ed2f2ebca	4RPX__DCP__laT__aaD__rs101__m1__alt.	7RBI__DCP__laM__aaD__rs101__m1__alt.
canonical_selected_sequence_sha256	39d84365c4c683a0b565af4c564c07dad2f796ab1ab1a088486dc569609dfebc	5JW0__6O7__laC__aaA__rs101__m1__alt.	5JW0__6O7__laD__aaA__rs102__m1__alt.
canonical_selected_sequence_sha256	39d84365c4c683a0b565af4c564c07dad2f796ab1ab1a088486dc569609dfebc	5JW0__6O7__laC__aaA__rs101__m1__alt.	5JW0__6O7__laE__aaA__rs103__m1__alt.
canonical_selected_sequence_sha256	39d84365c4c683a0b565af4c564c07dad2f796ab1ab1a088486dc569609dfebc	5JW0__6O7__laC__aaA__rs101__m1__alt.	5JW0__6O7__laK__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	3a3ea78e9a8a5ff68e717d5200e91b56af902ac5c9855f7de4224b1bd93ac7f8	6C63__EKJ__laD__aaA__rs101__m1__alt.	6C63__EKJ__laH__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	3a3ea78e9a8a5ff68e717d5200e91b56af902ac5c9855f7de4224b1bd93ac7f8	6C63__EKJ__laD__aaA__rs101__m1__alt.	6C64__EKM__laD__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	3a3ea78e9a8a5ff68e717d5200e91b56af902ac5c9855f7de4224b1bd93ac7f8	6C63__EKJ__laD__aaA__rs101__m1__alt.	6C64__EKM__laH__aaB__rs101__m1__alt.
canonical_selected_sequence_sha256	3a67ac5572f8b84ec613e97d3c8ac6554bebf9621264f181530f66ca9b3dd62b	4QK8__2BA__laB__aaA__rs201__m1__alt.	4QK8__2BA__laC__aaA__rs202__m1__alt.
canonical_selected_sequence_sha256	3a67ac5572f8b84ec613e97d3c8ac6554bebf9621264f181530f66ca9b3dd62b	4QK8__2BA__laB__aaA__rs201__m1__alt.	4QKA__2BA__laB__aaA__rs201__m1__alt.
canonical_selected_sequence_sha256	3a67ac5572f8b84ec613e97d3c8ac6554bebf9621264f181530f66ca9b3dd62b	4QK8__2BA__laB__aaA__rs201__m1__alt.	4QKA__2BA__laC__aaA__rs202__m1__alt.
canonical_selected_sequence_sha256	3ad45f7bed06509243666efc1d024abcdd667571c8febcd440940b404741f822	4XW7__AMZ__laB__aaA__rs101__m1__alt.	4XWF__AMZ__laB__aaA__rs101__m1__alt.
canonical_selected_sequence_sha256	3ad45f7bed06509243666efc1d024abcdd667571c8febcd440940b404741f822	4XW7__AMZ__laB__aaA__rs101__m1__alt.	8VQV__UG4__laD__aaA__rs103__m1__alt.
canonical_selected_sequence_sha256	3ad45f7bed06509243666efc1d024abcdd667571c8febcd440940b404741f822	4XW7__AMZ__laB__aaA__rs101__m1__alt.	8VVJ__A1AD3__laE__aaA__rs104__m1__alt.
canonical_selected_sequence_sha256	3e8933b594c7ee3798c763e4e7185a1547df263c6fd8a1cb5d3b67b53de530e9	2HRI__POH__laF__aaA__rs26__m1__alt.	2HRI__POH__laG__aaA__rs27__m1__alt.
canonical_selected_sequence_sha256	3eb4e3d8e7b0b971a0f4548d9ffd6ac87a60832c97d5c157ca730f5481cf29c7	7X8M__BER__laB__aaX__rs101__m1__alt.	7X8M__BER__laC__aaX__rs102__m1__alt.
canonical_selected_sequence_sha256	3eb4e3d8e7b0b971a0f4548d9ffd6ac87a60832c97d5c157ca730f5481cf29c7	7X8M__BER__laB__aaX__rs101__m1__alt.	7X8O__KPT__laB__aaX__rs101__m1__alt.
canonical_selected_sequence_sha256	3eb4e3d8e7b0b971a0f4548d9ffd6ac87a60832c97d5c157ca730f5481cf29c7	7X8M__BER__laB__aaX__rs101__m1__alt.	7X8O__KPT__laC__aaX__rs102__m1__alt.
canonical_selected_sequence_sha256	3f01b0c61b4aaed43e79d8835749ce830e4797ab6a72eaeb7032aad4d7d75279	4ZNP__AMZ__laC__aaA__rs101__m1__alt.	4ZNP__AMZ__laF__aaB__rs101__m1__alt.
