method	repeat	complex_name	native_rank	formal_rmsd_A	slot_status	source_rank_field	source_value_field
AutoDock-GPU	1	1byj	7	7.61341357	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	8	6.63675372	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	9	4.91159235	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1byj	10	5.65909472	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	1	8.15191276	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	2	15.21484423	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	3	14.802489	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	4	15.13821838	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	5	14.47520062	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	6	14.66943866	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	7	15.27774025	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	8	5.42574249	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	9	14.45035273	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvx	10	15.19543754	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	1	5.36353442	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	2	15.41583107	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	3	15.79469367	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	4	4.97079752	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	5	15.29171768	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	6	14.61379578	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	7	14.65856986	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	8	14.90018419	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	9	5.6335637	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1cvy	10	15.09019249	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	1	2.02334428	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	2	2.35815961	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	3	1.54071745	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	4	1.81837347	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	5	4.87137832	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	6	2.0600945	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	7	5.28662067	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	8	4.19714438	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	9	4.61535662	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1db6	10	1.510136	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	1	3.18981581	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	2	3.19279177	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	3	3.05726729	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	4	0.40460066	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	5	3.18643746	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	6	3.18791637	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	7	3.19478177	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	8	0.43300515	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	9	0.40463725	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1eht	10	3.86251073	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	1	6.91468143	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	2	5.27849566	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	3	5.53905467	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	4	5.43663113	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	5	6.45605393	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	6	7.58089623	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	7	5.49812242	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	8	7.10870487	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	9	5.48783468	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ei2	10	7.72963798	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	1	0.67568447	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	2	0.67423298	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	3	0.67766846	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	4	0.67152656	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	5	0.68932107	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	6	0.68757416	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	7	0.65617472	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	8	0.68230402	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	9	0.67139344	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f1t	10	0.67995413	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	1	3.17231445	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	2	3.31848966	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	3	2.32119268	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	4	2.48223186	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	5	2.37478739	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	6	2.33031504	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	7	2.38467773	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	8	5.62592359	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	9	2.46728608	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1f27	10	2.4106796	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	1	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	2	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	3	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	4	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	5	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	6	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	7	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	8	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	9	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fjg	10	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	1	2.23819202	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	2	1.59076825	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	3	4.75674305	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	4	6.75100226	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	5	4.73897588	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	6	2.83169703	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	7	4.82394175	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	8	4.89225285	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	9	7.70231517	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fmn	10	2.41161741	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	1	8.94477747	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	2	9.56717801	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	3	6.67612478	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	4	8.86450377	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	5	10.20961018	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	6	9.26095047	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	7	8.91810991	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	8	8.22627484	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	9	6.17507031	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1fyp	10	5.44585602	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	1	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	2	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	3	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	4	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	5	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	6	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	7	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	8	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	9	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1hnw	10	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	1	8.77100864	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	2	5.36806609	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	3	7.31316567	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	4	8.59663951	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	5	7.46712608	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	6	8.35505493	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	7	7.74242067	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	8	6.96503779	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	9	7.14173211	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1i9v	10	8.79281267	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	1	8.8816577	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	2	8.88706112	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	3	8.65300453	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	4	8.44194253	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	5	8.6604462	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	6	8.6401813	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	7	8.98991199	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	8	8.60080923	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	9	8.85405606	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1j7t	10	8.82975265	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	1	5.39377828	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	2	4.974482	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	3	2.32461099	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	4	3.07832662	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	5	4.68862363	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	6	4.35290952	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	7	1.98848435	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	8	4.68671344	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	9	4.75568869	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1koc	10	5.18810462	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	1	5.18936274	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	2	4.03682503	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	3	7.59463713	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	4	4.43789773	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	5	3.70808567	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	6	7.994316	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	7	7.16543313	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	8	4.08018828	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	9	6.31748391	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lc4	10	3.7631706	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	1	2.69024564	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	2	2.69149435	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	3	2.687122	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	4	2.66570907	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	5	2.43436436	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	6	2.67440828	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	7	6.47557611	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	8	2.07593758	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	9	1.51408911	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1lvj	10	5.53137107	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	1	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	2	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	3	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	4	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	5	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	6	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	7	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	8	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	9	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1mwl	10	Inf	MISSING_NATIVE_SLOT	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	1	3.72039185	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	2	3.44652529	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	3	2.12672397	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	4	5.91666623	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	5	5.90109259	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	6	5.64176425	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	7	5.94105197	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	8	3.44799958	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	9	5.111012	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nbk	10	2.97174905	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	1	7.28087288	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	2	3.92242722	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	3	8.72049689	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	4	4.11599096	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	5	5.20932845	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	6	8.86067657	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	7	3.17151447	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	8	5.03154104	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	9	8.40384803	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nem	10	5.03912642	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	1	4.67186481	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	2	4.63823269	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	3	6.22793036	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	4	6.06385633	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	5	6.06865437	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	6	4.68661497	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	7	6.08008297	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	8	4.68199828	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	9	4.59931255	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nta	10	5.6987798	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	1	5.06466175	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	2	5.12178731	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	3	3.95489086	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	4	4.81930639	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	5	5.15560431	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	6	7.49697451	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	7	4.76514739	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	8	4.37864252	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	9	4.42642105	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1ntb	10	5.1255278	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	1	4.45501455	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	2	4.45664116	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	3	4.45344254	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	4	4.4526849	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	5	4.45302229	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	6	4.4556221	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	7	5.29715147	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	8	5.25191229	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	9	5.22307818	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1nzm	10	5.21614163	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	1	3.48705488	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	2	3.00773674	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	3	3.47922396	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	4	0.67167414	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	5	3.46066396	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	6	3.95769599	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	7	3.63692381	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	8	3.66249122	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	9	3.45422306	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o15	10	3.77111046	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o9m	1	8.76312445	FORMAL_VALID	recovery_score_rank	recovery_rmsd
AutoDock-GPU	1	1o9m	2	8.3700483	FORMAL_VALID	recovery_score_rank	recovery_rmsd
